index,date,agg_stress,agg_Unemployment,agg_Loneliness,agg_Anxiety
232,2020-11-05,33.58,0.44,0.33,0.78
233,2020-11-06,49.64,10.56,0.33,0.78
234,2020-11-07,31.39,11.0,14.19,0.78
235,2020-11-08,48.8,0.06,25.08,38.43
236,2020-11-09,60.0,0.06,24.51,0.61
237,2020-11-10,62.4,0.06,50.16,28.67
238,2020-11-11,53.6,1.44,0.57,18.3
239,2020-11-12,53.6,3.0,24.51,28.06
240,2020-11-13,56.8,0.06,0.57,37.82
241,2020-11-14,37.6,0.06,0.57,19.52
242,2020-11-15,69.7,0.39,0.45,36.48
243,2020-11-16,69.7,0.39,0.01,8.55
244,2020-11-17,59.86,0.39,0.01,0.57
245,2020-11-18,54.94,0.39,0.01,17.67
246,2020-11-19,56.58,0.39,0.01,0.57
247,2020-11-20,56.58,0.39,0.01,0.57
248,2020-11-21,50.84,0.39,0.01,9.12
249,2020-11-22,48.24,6.76,0.45,8.96
250,2020-11-23,47.52,0.26,0.45,17.92
251,2020-11-24,48.24,6.5,0.45,0.56
252,2020-11-25,33.84,0.26,0.45,8.4
253,2020-11-26,49.68,0.26,19.35,17.36
254,2020-11-27,51.12,6.5,19.35,17.36
255,2020-11-28,39.6,6.5,0.45,43.68
256,2020-11-29,36.72,0.44,4.84,14.72
257,2020-11-30,54.0,10.56,0.11,13.8
258,2020-12-01,37.44,11.0,0.11,14.26
259,2020-12-02,46.8,0.44,0.11,6.9
260,2020-12-03,40.32,0.44,0.11,6.9
261,2020-12-04,42.48,10.56,0.11,0.46
262,2020-12-05,41.04,0.44,0.11,22.08
263,2020-12-06,61.6,0.2,0.47,23.04
264,2020-12-07,72.0,5.0,0.47,44.64
265,2020-12-08,56.0,0.2,0.47,10.8
266,2020-12-09,60.8,5.0,20.21,22.32
267,2020-12-10,60.0,0.2,0.47,11.52
268,2020-12-11,55.2,0.2,21.15,23.04
269,2020-12-12,63.2,5.2,21.15,0.72
270,2020-12-13,53.6,3.78,0.61,0.3
271,2020-12-14,62.4,3.5,0.61,0.3
272,2020-12-15,62.4,0.14,0.61,0.3
273,2020-12-16,41.6,0.14,54.9,0.3
274,2020-12-17,56.8,0.14,57.34,10.2
275,2020-12-18,51.2,0.14,0.61,5.4
276,2020-12-19,43.2,4.06,30.5,5.4
277,2020-12-20,38.94,0.15,0.27,22.32
278,2020-12-21,44.22,0.15,0.27,10.54
279,2020-12-22,36.96,4.2,0.27,10.54
280,2020-12-23,38.94,8.4,26.19,21.7
281,2020-12-24,42.24,0.15,0.27,0.62
282,2020-12-25,33.0,0.15,0.27,0.62
283,2020-12-26,46.86,0.15,0.27,0.62
284,2020-12-27,38.19,10.73,66.33,12.78
285,2020-12-28,40.2,0.37,0.67,0.71
286,2020-12-29,46.23,10.36,0.67,24.85
287,2020-12-30,42.21,21.46,0.67,25.56
288,2020-12-31,45.56,0.37,0.67,27.69
289,2021-01-01,31.49,0.37,0.67,56.8
290,2021-01-02,44.22,0.37,34.84,26.98
291,2021-01-03,47.6,0.42,0.25,59.04
292,2021-01-04,65.45,10.92,11.25,52.48
293,2021-01-05,47.6,10.92,11.25,13.12
294,2021-01-06,62.9,21.84,11.25,40.18
295,2021-01-07,62.9,0.42,0.25,13.12
296,2021-01-08,85.0,0.42,0.25,13.94
297,2021-01-09,49.3,0.42,0.25,14.76
298,2021-01-10,73.95,0.56,0.12,10.98
299,2021-01-11,73.1,29.12,0.12,19.52
300,2021-01-12,54.4,0.56,0.12,9.76
301,2021-01-13,51.85,0.56,0.12,19.52
302,2021-01-14,76.5,14.56,0.12,9.76
303,2021-01-15,47.6,0.56,5.64,31.11
304,2021-01-16,35.7,0.56,6.0,21.96
305,2021-01-17,57.85,0.48,0.01,8.1
306,2021-01-18,63.19,0.48,0.45,7.2
307,2021-01-19,78.32,0.48,0.01,7.2
308,2021-01-20,69.42,11.52,0.01,13.5
309,2021-01-21,68.53,12.48,0.44,36.0
310,2021-01-22,60.52,25.44,0.01,7.2
311,2021-01-23,62.3,0.48,0.01,0.45
312,2021-01-24,33.0,0.21,0.48,11.05
313,2021-01-25,39.75,0.21,0.01,10.4
314,2021-01-26,52.5,0.21,0.01,21.45
315,2021-01-27,69.0,10.71,0.44,20.8
316,2021-01-28,51.0,0.21,0.45,10.4
317,2021-01-29,42.0,5.67,0.01,0.65
318,2021-01-30,45.75,5.88,0.95,22.1
319,2021-01-31,58.93,0.4,0.24,6.63
320,2021-02-01,71.38,10.0,0.24,0.39
321,2021-02-02,55.61,10.0,10.56,24.57
322,2021-02-03,64.74,0.4,0.24,18.33
323,2021-02-04,62.25,10.4,0.24,6.24
324,2021-02-05,70.55,21.6,0.24,0.39
325,2021-02-06,50.63,0.4,0.24,0.39
326,2021-02-07,52.48,0.27,0.61,13.6
327,2021-02-08,59.04,13.77,26.84,25.6
328,2021-02-09,66.42,7.02,0.61,38.4
329,2021-02-10,55.76,13.5,0.61,12.8
330,2021-02-11,51.66,0.27,28.06,52.0
331,2021-02-12,42.64,0.27,28.06,52.8
332,2021-02-13,47.56,0.27,30.5,0.8
333,2021-02-14,73.08,20.3,6.5,16.74
334,2021-02-15,59.16,18.55,0.13,14.88
335,2021-02-16,66.12,0.35,0.13,29.76
336,2021-02-17,66.99,0.35,5.98,15.81
337,2021-02-18,82.65,28.35,0.13,15.81
338,2021-02-19,70.47,0.35,0.13,15.81
339,2021-02-20,47.85,21.7,0.13,36.27
340,2021-02-21,60.35,0.36,0.38,24.57
341,2021-02-22,65.45,0.36,0.38,10.08
342,2021-02-23,51.0,9.72,0.38,10.71
343,2021-02-24,41.65,10.08,0.38,0.63
344,2021-02-25,51.85,0.36,0.38,21.42
345,2021-02-26,62.9,10.08,0.38,21.42
346,2021-02-27,62.05,10.8,0.38,0.63
347,2021-02-28,49.77,0.42,0.12,11.88
348,2021-03-01,52.14,22.26,5.52,33.0
349,2021-03-02,54.51,11.34,0.12,0.66
350,2021-03-03,56.88,10.92,5.52,10.56
351,2021-03-04,59.25,0.42,0.12,33.0
352,2021-03-05,47.4,0.42,5.64,11.22
353,2021-03-06,48.19,0.42,0.12,36.3
354,2021-03-07,72.98,19.72,18.5,0.4
355,2021-03-08,62.3,8.84,0.37,19.6
356,2021-03-09,84.55,0.34,0.37,13.2
357,2021-03-10,63.19,8.84,0.37,19.2
358,2021-03-11,61.41,9.18,0.37,0.4
359,2021-03-12,71.2,9.18,17.39,13.6
360,2021-03-13,71.2,0.34,0.37,0.4
361,2021-03-14,57.95,0.52,5.17,19.38
362,2021-03-15,63.65,42.64,3.96,9.88
363,2021-03-16,80.75,11.96,4.4,27.36
364,2021-03-17,82.65,27.04,0.11,0.38
365,2021-03-18,70.3,13.52,0.11,0.38
366,2021-03-19,72.2,0.52,0.11,38.0
367,2021-03-20,68.4,15.08,5.39,20.14
368,2021-03-21,59.16,7.84,18.62,16.1
369,2021-03-22,71.34,14.84,0.38,15.18
370,2021-03-23,70.47,0.28,0.38,15.18
371,2021-03-24,79.17,7.56,34.96,30.36
372,2021-03-25,64.38,15.12,17.86,15.64
373,2021-03-26,46.98,15.12,17.86,31.28
374,2021-03-27,51.33,0.28,0.38,0.46
375,2021-03-28,58.32,8.99,0.01,41.34
376,2021-03-29,52.65,0.29,0.01,17.49
377,2021-03-30,50.22,0.29,0.01,18.02
378,2021-03-31,51.84,7.83,0.01,9.01
379,2021-04-01,47.79,0.29,0.01,18.02
380,2021-04-02,59.13,0.29,0.01,9.54
381,2021-04-03,42.93,0.29,0.01,0.53
382,2021-04-04,55.61,8.06,0.58,8.17
383,2021-04-05,52.29,7.28,0.58,30.1
384,2021-04-06,49.8,5.98,23.2,18.49
385,2021-04-07,63.91,6.24,0.58,12.9
386,2021-04-08,51.46,6.5,0.58,13.33
387,2021-04-09,50.63,12.74,0.58,0.43
388,2021-04-10,61.42,0.26,0.58,14.62
389,2021-04-11,72.98,0.34,0.36,52.0
390,2021-04-12,76.54,0.34,15.84,32.0
391,2021-04-13,60.52,17.68,0.36,16.0
392,2021-04-14,60.52,8.84,16.2,1.0
393,2021-04-15,73.87,0.34,0.36,83.0
